GMID,Name,School,Year,Grade,A1PerRimAtt,A1Per2PT,PercFTsShootF
3771,Reggie Jackson,Boston College,2009,So,0.064,0.034,74.23%
3769,Nick Mosakowski,Boston College,2009,So,NA,NA,NA
3762,Biko Paris,Boston College,2009,Jr,0.018,0.011,84.44%
3763,Corey Raji,Boston College,2009,Jr,0.071,0.038,69.14%
3766,Evan Ravenel,Boston College,2009,So,0.160,0.089,55.56%
4831,Peter Rehnquist,Boston College,2009,So,NA,NA,NA
3772,Tyler Roche,Boston College,2009,Sr,0.118,0.034,53.85%
3770,Rakim Sanders,Boston College,2009,Jr,0.061,0.027,72.73%
3768,Josh Southern,Boston College,2009,Jr,0.094,0.050,66.67%
3767,Joe Trapani,Boston College,2009,Jr,0.058,0.031,77.33%
17705,Tunde Agboola,Boston University,2009,Sr,0.000,0.000,0.00%
17694,B.J. Bailey,Boston University,2009,Fr,0.000,0.000,72.73%
17700,John Holland,Boston University,2009,Jr,0.118,0.052,68.00%
17697,Corey Lowe,Boston University,2009,Sr,0.141,0.049,73.50%
17706,Tyler Morris,Boston University,2009,Sr,0.140,0.055,62.50%
17698,Jake O'Brien,Boston University,2009,So,0.051,0.016,74.36%
17699,Jeff Pelage,Boston University,2009,So,0.049,0.034,81.82%
17702,Michael Schulze,Boston University,2009,Sr,NA,NA,NA
17707,Valdas Sirutis,Boston University,2009,Sr,0.000,0.000,63.64%
17704,Sherrod Smith,Boston University,2009,Sr,0.000,0.000,0.00%
17696,Carlos Strong,Boston University,2009,Sr,0.161,0.083,71.91%
17695,Brendan Sullivan,Boston University,2009,Sr,0.000,0.000,NA
11280,Dee Brown,Bowling Green,2009,So,0.096,0.030,80.36%
11277,A'uston Calhoun,Bowling Green,2009,Fr,NA,NA,NA
11284,Jordon Crawford,Bowling Green,2009,Fr,0.000,0.000,83.33%
11282,James Erger,Bowling Green,2009,Fr,0.000,0.000,NA
9150,Darion Goins,Bowling Green,2009,Jr,0.000,0.000,100.00%
11283,Joe Jakubowski,Bowling Green,2009,Jr,0.074,0.051,76.19%
11287,Matt Karaffa,Bowling Green,2009,Jr,NA,NA,NA
11285,Luke Kraus,Bowling Green,2009,Fr,0.000,0.000,100.00%
11286,Marc Larson,Bowling Green,2009,Sr,0.090,0.052,76.92%
11281,Erik Marschall,Bowling Green,2009,Sr,0.059,0.036,76.47%
11278,Danny McElroy,Bowling Green,2009,Fr,0.000,0.000,66.67%
11288,Otis Polk,Bowling Green,2009,Sr,0.079,0.060,76.60%
11289,Scott Thomas,Bowling Green,2009,So,0.101,0.048,81.30%
